age,sex,weight,primary_vote_choice,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
86,2,0.38,Barack Obama,1,7,1,100,0,Democrat,100,0,1,Democrat,Winner,2012
79,1,0.547,Barack Obama,1,7,1,100,0,Democrat,100,0,1,Democrat,Winner,2012
72,2,0.497,Barack Obama,-2,-8,-8,100,0,Democrat,100,0,1,Democrat,Winner,2012
54,2,0.254,Didn't Vote,-2,4,6,100,85,Democrat,100,85,0,NA,Didn't Vote,2012
35,1,0.602,Didn't Vote,2,7,2,70,40,Independent,NA,NA,0,NA,Didn't Vote,2012
80,1,0.286,Didn't Vote,-8,-8,-8,100,14,NA,NA,NA,0,NA,NA,2012
50,2,0.194,Didn't Vote,-2,2,6,100,15,Democrat,100,15,0,NA,Didn't Vote,2012
70,2,0.394,Didn't Vote,-2,-8,-8,100,50,Independent,NA,NA,0,NA,Didn't Vote,2012
22,2,0.506,Didn't Vote,4,6,4,60,50,Democrat,60,50,0,NA,Didn't Vote,2012
49,1,2.506,Mitt Romney,6,5,3,50,60,Republican,60,50,1,Republican,Winner,2012
NA,1,3.098,Didn't Vote,4,7,2,30,15,Independent,NA,NA,0,NA,Didn't Vote,2012
47,1,2.392,Didn't Vote,5,6,2,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
64,2,2.437,Barack Obama,3,7,2,70,30,Democrat,70,30,1,Democrat,Winner,2012
56,2,1.656,Didn't Vote,4,4,4,30,15,Independent,NA,NA,0,NA,Didn't Vote,2012
59,2,1.919,Didn't Vote,6,7,1,0,60,Republican,60,0,0,NA,Didn't Vote,2012
61,1,1.851,Mitt Romney,6,6,2,15,60,Republican,60,15,1,Republican,Winner,2012
51,1,1.448,Newt Gingrich,6,4,1,15,40,Republican,40,15,1,Republican,Loser,2012
61,2,1.502,Barack Obama,-2,4,6,85,30,Democrat,85,30,1,Democrat,Winner,2012
34,2,0.511,Didn't Vote,-2,4,4,50,50,Republican,50,50,0,NA,Didn't Vote,2012
48,2,0.301,Didn't Vote,3,4,4,15,0,Independent,NA,NA,0,NA,Didn't Vote,2012
25,1,0.802,Ron Paul,6,4,4,30,40,Republican,40,30,1,Republican,Loser,2012
34,2,0.485,Didn't Vote,-2,3,3,30,30,Independent,NA,NA,0,NA,Didn't Vote,2012
29,1,1.807,Didn't Vote,3,7,4,50,40,Democrat,50,40,0,NA,Didn't Vote,2012
85,2,1.682,Didn't Vote,-2,4,3,85,50,Democrat,85,50,0,NA,Didn't Vote,2012
77,1,1.38,Didn't Vote,5,5,3,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
51,1,1.243,NA,4,-8,-8,40,40,Democrat,40,40,1,NA,NA,2012
53,1,1.282,NA,6,6,2,30,70,Independent,NA,NA,1,NA,NA,2012
83,2,0.834,Didn't Vote,5,4,1,0,85,Republican,85,0,0,NA,Didn't Vote,2012
56,1,0.904,Didn't Vote,-2,5,3,30,30,Independent,NA,NA,0,NA,Didn't Vote,2012
53,1,0.847,Didn't Vote,5,7,4,40,15,Independent,NA,NA,0,NA,Didn't Vote,2012
52,2,0.437,Didn't Vote,5,7,4,70,15,Independent,NA,NA,0,NA,Didn't Vote,2012
36,2,0.713,Didn't Vote,4,2,6,85,50,Independent,NA,NA,0,NA,Didn't Vote,2012
74,2,0.789,Mitt Romney,-2,6,5,40,0,Independent,NA,NA,1,Republican,Voted in Other Party Primary,2012
NA,2,0.803,Didn't Vote,-2,4,4,50,40,Independent,NA,NA,0,NA,Didn't Vote,2012
54,1,0.249,Barack Obama,-2,2,7,85,30,Democrat,85,30,1,Democrat,Winner,2012
45,2,0.242,Didn't Vote,1,7,7,60,60,Independent,NA,NA,0,NA,Didn't Vote,2012
30,2,0.252,Didn't Vote,-2,4,3,70,85,Independent,NA,NA,0,NA,Didn't Vote,2012
18,2,0.179,Didn't Vote,-2,4,6,50,50,Independent,NA,NA,0,NA,Didn't Vote,2012
39,2,0.165,Didn't Vote,-2,7,2,70,40,Democrat,70,40,0,NA,Didn't Vote,2012
21,2,0.088,Didn't Vote,3,-8,-8,-2,-2,Independent,NA,NA,0,NA,Didn't Vote,2012
43,2,0.814,Didn't Vote,5,7,1,15,85,Republican,85,15,0,NA,Didn't Vote,2012
51,2,0.763,Barack Obama,3,6,3,75,50,Democrat,75,50,1,Democrat,Winner,2012
32,2,0.426,Didn't Vote,4,6,3,70,50,Democrat,70,50,0,NA,Didn't Vote,2012
64,2,1.014,Mitt Romney,6,6,1,0,70,Independent,NA,NA,1,Republican,Voted in Other Party Primary,2012
32,2,0.827,Didn't Vote,6,7,1,30,70,Republican,70,30,0,NA,Didn't Vote,2012
49,2,0.432,Rick Santorum,7,6,2,15,70,Republican,70,15,1,Republican,Loser,2012
30,2,1.048,Didn't Vote,5,6,2,15,15,Republican,15,15,0,NA,Didn't Vote,2012
62,1,0.787,Didn't Vote,6,7,1,0,50,Independent,NA,NA,0,NA,Didn't Vote,2012
30,2,1.157,Didn't Vote,5,5,3,50,70,Republican,70,50,0,NA,Didn't Vote,2012
61,2,0.919,Mitt Romney,6,5,2,15,85,Republican,85,15,1,Republican,Winner,2012
40,1,0.172,Didn't Vote,5,6,3,80,50,Democrat,80,50,0,NA,Didn't Vote,2012
