age,sex,race,income,weight,primary_vote_choice,primary_vote,ideo_self,ideo_rep,ideo_dem,therm_dem,therm_rep,pid_3,below_35k_dum,therm_inparty,therm_outparty,primary_vote_dum,cand_party,primary_vote_simple,year
86,Female,Black,2,0.38,Barack Obama,1,1,7,1,100,0,Democrat,1,100,0,1,Democrat,Winner,2012
79,Male,Black,NA,0.547,Barack Obama,1,1,7,1,100,0,Democrat,NA,100,0,1,Democrat,Winner,2012
72,Female,Black,3,0.497,Barack Obama,1,-2,-8,-8,100,0,Democrat,1,100,0,1,Democrat,Winner,2012
54,Female,Black,2,0.254,Didn't Vote,0,-2,4,6,100,85,Democrat,1,100,85,0,NA,Didn't Vote,2012
35,Male,Black,13,0.602,Didn't Vote,0,2,7,2,70,40,Independent,0,NA,NA,0,NA,Didn't Vote,2012
80,Male,Black,2,0.286,Didn't Vote,0,-8,-8,-8,100,14,NA,1,NA,NA,0,NA,NA,2012
50,Female,Black,1,0.194,Didn't Vote,0,-2,2,6,100,15,Democrat,1,100,15,0,NA,Didn't Vote,2012
70,Female,Black,1,0.394,Didn't Vote,0,-2,-8,-8,100,50,Independent,1,NA,NA,0,NA,Didn't Vote,2012
22,Female,Black,NA,0.506,Didn't Vote,0,4,6,4,60,50,Democrat,NA,60,50,0,NA,Didn't Vote,2012
49,Male,White,9,2.506,Mitt Romney,1,6,5,3,50,60,Republican,1,60,50,1,Republican,Winner,2012
NA,Male,White,27,3.098,Didn't Vote,0,4,7,2,30,15,Independent,0,NA,NA,0,NA,Didn't Vote,2012
47,Male,White,27,2.392,Didn't Vote,0,5,6,2,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2012
64,Female,White,24,2.437,Barack Obama,1,3,7,2,70,30,Democrat,0,70,30,1,Democrat,Winner,2012
56,Female,White,15,1.656,Didn't Vote,0,4,4,4,30,15,Independent,0,NA,NA,0,NA,Didn't Vote,2012
59,Female,White,25,1.919,Didn't Vote,0,6,7,1,0,60,Republican,0,60,0,0,NA,Didn't Vote,2012
61,Male,White,NA,1.851,Mitt Romney,1,6,6,2,15,60,Republican,NA,60,15,1,Republican,Winner,2012
51,Male,White,26,1.448,Newt Gingrich,1,6,4,1,15,40,Republican,0,40,15,1,Republican,Loser,2012
61,Female,White,7,1.502,Barack Obama,1,-2,4,6,85,30,Democrat,1,85,30,1,Democrat,Winner,2012
34,Female,White,NA,0.511,Didn't Vote,0,-2,4,4,50,50,Republican,NA,50,50,0,NA,Didn't Vote,2012
48,Female,Other,7,0.301,Didn't Vote,0,3,4,4,15,0,Independent,1,NA,NA,0,NA,Didn't Vote,2012
25,Male,White,9,0.802,Ron Paul,1,6,4,4,30,40,Republican,1,40,30,1,Republican,Loser,2012
34,Female,White,1,0.485,Didn't Vote,0,-2,3,3,30,30,Independent,1,NA,NA,0,NA,Didn't Vote,2012
29,Male,White,11,1.807,Didn't Vote,0,3,7,4,50,40,Democrat,1,50,40,0,NA,Didn't Vote,2012
85,Female,White,2,1.682,Didn't Vote,0,-2,4,3,85,50,Democrat,1,85,50,0,NA,Didn't Vote,2012
77,Male,White,13,1.38,Didn't Vote,0,5,5,3,50,50,Independent,0,NA,NA,0,NA,Didn't Vote,2012
51,Male,White,NA,1.243,NA,1,4,-8,-8,40,40,Democrat,NA,40,40,1,NA,NA,2012
53,Male,White,9,1.282,NA,1,6,6,2,30,70,Independent,1,NA,NA,1,NA,NA,2012
83,Female,White,NA,0.834,Didn't Vote,0,5,4,1,0,85,Republican,NA,85,0,0,NA,Didn't Vote,2012
56,Male,White,14,0.904,Didn't Vote,0,-2,5,3,30,30,Independent,0,NA,NA,0,NA,Didn't Vote,2012
53,Male,White,3,0.847,Didn't Vote,0,5,7,4,40,15,Independent,1,NA,NA,0,NA,Didn't Vote,2012
52,Female,Black,23,0.437,Didn't Vote,0,5,7,4,70,15,Independent,0,NA,NA,0,NA,Didn't Vote,2012
36,Female,Other,18,0.713,Didn't Vote,0,4,2,6,85,50,Independent,0,NA,NA,0,NA,Didn't Vote,2012
74,Female,Black,9,0.789,Mitt Romney,1,-2,6,5,40,0,Independent,1,NA,NA,1,Republican,Voted in Other Party Primary,2012
NA,Female,Other,NA,0.803,Didn't Vote,0,-2,4,4,50,40,Independent,NA,NA,NA,0,NA,Didn't Vote,2012
54,Male,Other,15,0.249,Barack Obama,1,-2,2,7,85,30,Democrat,0,85,30,1,Democrat,Winner,2012
45,Female,Other,4,0.242,Didn't Vote,0,1,7,7,60,60,Independent,1,NA,NA,0,NA,Didn't Vote,2012
30,Female,Other,13,0.252,Didn't Vote,0,-2,4,3,70,85,Independent,0,NA,NA,0,NA,Didn't Vote,2012
18,Female,Other,4,0.179,Didn't Vote,0,-2,4,6,50,50,Independent,1,NA,NA,0,NA,Didn't Vote,2012
39,Female,Other,11,0.165,Didn't Vote,0,-2,7,2,70,40,Democrat,1,70,40,0,NA,Didn't Vote,2012
21,Female,Other,1,0.088,Didn't Vote,0,3,-8,-8,-2,-2,Independent,1,NA,NA,0,NA,Didn't Vote,2012
43,Female,Other,26,0.814,Didn't Vote,0,5,7,1,15,85,Republican,0,85,15,0,NA,Didn't Vote,2012
51,Female,White,NA,0.763,Barack Obama,1,3,6,3,75,50,Democrat,NA,75,50,1,Democrat,Winner,2012
32,Female,Other,23,0.426,Didn't Vote,0,4,6,3,70,50,Democrat,0,70,50,0,NA,Didn't Vote,2012
64,Female,White,8,1.014,Mitt Romney,1,6,6,1,0,70,Independent,1,NA,NA,1,Republican,Voted in Other Party Primary,2012
32,Female,White,22,0.827,Didn't Vote,0,6,7,1,30,70,Republican,0,70,30,0,NA,Didn't Vote,2012
49,Female,Other,11,0.432,Rick Santorum,1,7,6,2,15,70,Republican,1,70,15,1,Republican,Loser,2012
30,Female,White,26,1.048,Didn't Vote,0,5,6,2,15,15,Republican,0,15,15,0,NA,Didn't Vote,2012
62,Male,White,25,0.787,Didn't Vote,0,6,7,1,0,50,Independent,0,NA,NA,0,NA,Didn't Vote,2012
